event_message,event_type,function_id,id,level,timestamp
"Buffer created, size: 28490131
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,eb329ad1-d660-4a31-807c-b27865192810,info,1756824610099000
"PDF file size: 28490131
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,33000a36-62fc-469c-9b0f-c884f25a7957,info,1756824610084000
"PDF extraction function started
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,b5e8e6bd-7c3b-4e51-8a76-b787a2bef1b6,info,1756824609627000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,34d8219e-ee59-4eaa-bcec-5cc7be30ac2c,info,1756824609624000
booted (time: 28ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,910ff09b-65ed-4a9e-98b9-822f34dd01bb,log,1756824609618000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,bd5630ef-343b-40ae-aa42-5a5536eed880,info,1756824604123000
booted (time: 36ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,bc8e84e8-f245-402c-9061-c24507e56c16,log,1756824604115000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,b398c3a6-1fbc-4eb4-bb45-32463e0be166,log,1756824496675000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,e954a9a9-c82e-4776-9528-baa4f5d6a6d6,log,1756824429023000
Memory limit exceeded,Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,895070a6-4bca-457c-a307-a9f8b46bcbca,error,1756824429023000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,fd5832ce-e4f4-4581-b1a2-3dc6db15f602,info,1756824425552000
booted (time: 35ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,e76c34bb-1c4f-4849-bd59-0c9cd502933b,log,1756824425542000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,492e6c6a-8ea1-43d8-b2d6-7aacda629b3a,info,1756824421657000
booted (time: 32ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,514d279f-0770-41d0-969f-ef6a110e8fa6,log,1756824421652000
Memory limit exceeded,Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,b32e0af8-d8b4-419b-aeed-9726d49965f8,error,1756824412845000
